---------------------------------------------
1 ROUGE-3 Eval D1026-A.M.100.E.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-3 Eval D1027-A.M.100.E.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-3 Eval D1028-A.M.100.E.1 R:0.01293 P:0.04167 F:0.01974
1 ROUGE-3 Eval D1029-A.M.100.F.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-3 Eval D1030-A.M.100.F.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-3 Eval D1031-A.M.100.F.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-3 Eval D1032-A.M.100.F.1 R:0.02756 P:0.03302 F:0.03004
1 ROUGE-3 Eval D1033-A.M.100.F.1 R:0.00427 P:0.00625 F:0.00507
1 ROUGE-3 Eval D1034-A.M.100.F.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-3 Eval D1035-A.M.100.G.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-3 Eval D1036-A.M.100.G.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-3 Eval D1037-A.M.100.G.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-3 Eval D1038-A.M.100.G.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-3 Eval D1039-A.M.100.G.1 R:0.01688 P:0.02500 F:0.02015
1 ROUGE-3 Eval D1040-A.M.100.G.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-3 Eval D1041-A.M.100.H.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-3 Eval D1042-A.M.100.H.1 R:0.00465 P:0.00625 F:0.00533
1 ROUGE-3 Eval D1043-A.M.100.H.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-3 Eval D1044-A.M.100.H.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-3 Eval D1045-A.M.100.H.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-3 Eval D1046-A.M.100.H.1 R:0.00813 P:0.00943 F:0.00873
---------------------------------------------
